"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/02/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","2","8.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/03/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/04/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/05/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/06/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/07/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/08/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/09/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/10/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/11/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/12/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/13/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/14/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/15/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/16/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","14","58.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/23/2023","AQS","320030043","1","0","ppm","0","Paul Meyer","2","8.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/24/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/25/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/26/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/27/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/28/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/29/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"05/30/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","14","58.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/07/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","10","42.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/08/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/09/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/10/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/11/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/12/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/13/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/14/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/15/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/16/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/17/2023","AQS","320030043","1","0.6","ppm","7","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/18/2023","AQS","320030043","1","0.3","ppm","3","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/19/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/20/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/21/2023","AQS","320030043","1","0.3","ppm","3","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/22/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06/23/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
